DATASET_INDEX      DataSet
0                  Adiac  
8                  Beef             
39                 CBF
2                  ChlorineConcentration          
40                 CinC_ECG_torso
29                 Coffee
30                 Cricket_X
31                 Cricket_Y
32                 Cricket_Z
37                 DiatomSizeReduction
13                 ECGFiveDays
45                 FaceAll
46                 FaceFour
47                 FacesUCR
7                  50words
48                 Fish
51                 GunPoint
54                 Haptics
56                 InlineSkate
16                 ItalyPowerDemand
58                 Lighting2
4                  Lighting7
59                 MALLAT
26                 MedicalImages
25                 MoteStrain
61                 NonInvasiveFatalECG_Thorax1
62                 NonInvasiveFatalECG_Thorax2
63                 OliveOil
64                 OSULeaf_TRAIN
17                 SonyAIBORobotSurface
18                 SonyAIBORobotSurfaceII
73                 StarlightCurves
74                 SwedishLeaf
75                 Symbols
76                 Synthetic_control
77                 Trace
79                 TwoLeadECG  
78                 Two_Patterns
33                 UWaveGestureLibrary_X
34                 UWaveGestureLibrary_Y
35                 UWaveGestureLibrary_Z
81                 Wafer
6                  WordsSynonyms
84                 Yoga
